Player,Team,Number,Years,Other appearances
Pelé,Brazil,3,"1958, 1962, 1970",1966
Bellini,Brazil,2,"1958, 1962",1966
Cafu,Brazil,2,"1994, 2002","1998, 2006"
Castilho,Brazil,2,"1958, 1962","1950, 1954"
Didi,Brazil,2,"1958, 1962",1954
Djalma Santos,Brazil,2,"1958, 1962","1954, 1966"
Giovanni Ferrari,Italy,2,"1934, 1938",
Garrincha,Brazil,2,"1958, 1962",1966
Gilmar,Brazil,2,"1958, 1962",1966
Guido Masetti,Italy,2,"1934, 1938",
Mauro,Brazil,2,"1958, 1962",1954
Giuseppe Meazza,Italy,2,"1934, 1938",
Eraldo Monzeglio,Italy,2,"1934, 1938",
Nílton Santos,Brazil,2,"1958, 1962","1950, 1954"
Daniel Passarella,Argentina,2,"1978, 1986",1982
Pepe,Brazil,2,"1958, 1962",
Ronaldo,Brazil,2,"1994, 2002","1998, 2006"
Vavá,Brazil,2,"1958, 1962",
Mário Zagallo,Brazil,2,"1958, 1962",
Zito,Brazil,2,"1958, 1962",1966
Zózimo,Brazil,2,"1958, 1962",
Ado,Brazil,1,1970,
Raúl Albiol,Spain,1,2010,2014
Aldair,Brazil,1,1994,"1990, 1998"
Luigi Allemandi,Italy,1,1934,
Sergio Almirón,Argentina,1,1986,
Norberto Alonso,Argentina,1,1978,
Xabi Alonso,Spain,1,2010,"2006, 2014"
José Altafini,Brazil,1,1958,1962 (for Italy)
Altair,Brazil,1,1962,1966
Alessandro Altobelli,Italy,1,1982,1986
Amarildo,Brazil,1,1962,
Marco Amelia,Italy,1,2006,
Ânderson Polga,Brazil,1,2002,
José Andrade,Uruguay,1,1930,
Michele Andreolo,Italy,1,1938,
Peregrino Anselmo,Uruguay,1,1930,
Giancarlo Antognoni,Italy,1,1982,1978
Álvaro Arbeloa,Spain,1,2010,
Pietro Arcari,Italy,1,1934,
Osvaldo Ardiles,Argentina,1,1978,1982
Alphonse Areola,France,1,2018,
Jimmy Armfield,England,1,1966,1962
Klaus Augenthaler,West Germany,1,1990,1986
Raimond Aumann,West Germany,1,1990,
Baldocchi,Brazil,1,1970,
Héctor Baley,Argentina,1,1978,1982
Alan Ball,England,1,1966,1970
Enrique Ballestrero,Uruguay,1,1930,
Gordon Banks,England,1,1966,"1962,[n 1] 1970"
Franco Baresi,Italy,1,1982,"1990, 1994"
Simone Barone,Italy,1,2006,
Fabien Barthez,France,1,1998,"2002, 2006"
Andrea Barzagli,Italy,1,2006,2014
Sergio Batista,Argentina,1,1986,1990
Hans Bauer,West Germany,1,1954,
Bebeto,Brazil,1,1994,"1990, 1998"
Franz Beckenbauer,West Germany,1,1974,"1966, 1970"
Uwe Bein,West Germany,1,1990,
Juliano Belletti,Brazil,1,2002,
Giuseppe Bergomi,Italy,1,1982,"1986, 1990, 1998"
Thomas Berthold,West Germany,1,1990,"1986, 1994"
Luigi Bertolini,Italy,1,1934,
Daniel Bertoni,Argentina,1,1978,1982
Sergio Bertoni,Italy,1,1938,
Amedeo Biavati,Italy,1,1938,
Ulrich Biesinger,West Germany,1,1954,
Laurent Blanc,France,1,1998,
Jérôme Boateng,Germany,1,2014,"2010, 2018"
Ricardo Bochini,Argentina,1,1986,
Alain Boghossian,France,1,1998,2002
Peter Bonetti,England,1,1966,1970
Rainer Bonhof,West Germany,1,1974,1978
Ivano Bordon,Italy,1,1982,1978
Felice Borel,Italy,1,1934,
Claudio Borghi,Argentina,1,1986,
Branco,Brazil,1,1994,"1986, 1990"
Andreas Brehme,West Germany,1,1990,"1986, 1994"
Paul Breitner,West Germany,1,1974,1982
Brito,Brazil,1,1970,1966
Julio César Britos,Uruguay,1,1950,
José Luis Brown,Argentina,1,1986,
Guido Buchwald,West Germany,1,1990,1994
Gianluigi Buffon,Italy,1,2006,"1998, 2002, 2010, 2014"
Juan Burgueño,Uruguay,1,1950,
Jorge Burruchaga,Argentina,1,1986,1990
Sergio Busquets,Spain,1,2010,"2014, 2018"
Gerry Byrne,England,1,1966,
Antonio Cabrini,Italy,1,1982,"1978, 1986"
Caju,Brazil,1,1970,1974
Umberto Caligaris,Italy,1,1934,
Ian Callaghan,England,1,1966,
Juan Carlos Calvo,Uruguay,1,1930,
Mauro Camoranesi,Italy,1,2006,2010
Vincent Candela,France,1,1998,2002
Fabio Cannavaro,Italy,1,2006,"1998, 2002, 2010"
Joan Capdevila,Spain,1,2010,
Miguel Capuccini,Uruguay,1,1930,
Carlos Alberto,Brazil,1,1970,
Iker Casillas,Spain,1,2010,"2002, 2006, 2014"
Armando Castellazzi,Italy,1,1934,
Héctor Castro,Uruguay,1,1930,
Franco Causio,Italy,1,1982,"1974, 1978"
Giuseppe Cavanna,Italy,1,1934,
Pedro Cea,Uruguay,1,1930,
Carlo Ceresoli,Italy,1,1938,
Lionel Charbonnier,France,1,1998,
Bobby Charlton,England,1,1966,"1958, 1962, 1970"
Jack Charlton,England,1,1966,1970
Bruno Chizzo,Italy,1,1938,
Néstor Clausen,Argentina,1,1986,
Clodoaldo,Brazil,1,1970,
George Cohen,England,1,1966,
Gino Colaussi,Italy,1,1938,
Fulvio Collovati,Italy,1,1982,1986
Gianpiero Combi,Italy,1,1934,
John Connelly,England,1,1966,1962
Bruno Conti,Italy,1,1982,1986
Coutinho,Brazil,1,1962,
José Luis Cuciuffo,Argentina,1,1986,
Bernhard Cullmann,West Germany,1,1974,1978
Dario,Brazil,1,1970,
Daniele De Rossi,Italy,1,2006,"2010, 2014"
De Sordi,Brazil,1,1958,
Alessandro Del Piero,Italy,1,2006,"1998, 2002"
Attilio Demaría,Italy,1,1934,1930 (for Argentina)
Ousmane Dembélé,France,1,2018,
Denílson,Brazil,1,2002,1998
Marcel Desailly,France,1,1998,2002
Didier Deschamps,France,1,1998,
Dida,Brazil,1,1958,
Dida,Brazil,1,2002,"1998, 2006"
Dino Sani,Brazil,1,1958,
Bernard Diomède,France,1,1998,
Youri Djorkaeff,France,1,1998,2002
Aldo Donati,Italy,1,1938,
Pablo Dorado,Uruguay,1,1930,
Giuseppe Dossena,Italy,1,1982,
Julian Draxler,Germany,1,2014,2018
Christophe Dugarry,France,1,1998,2002
Dunga,Brazil,1,1994,"1990, 1998"
Erik Durm,Germany,1,2014,
George Eastham,England,1,1966,1962
Horst Eckel,West Germany,1,1954,1958
Edílson,Brazil,1,2002,
Edmílson,Brazil,1,2002,
Edu,Brazil,1,1970,"1966, 1974"
Héctor Enrique,Argentina,1,1986,
Herbert Erhardt,West Germany,1,1954,"1958, 1962"
Everaldo,Brazil,1,1970,
Cesc Fàbregas,Spain,1,2010,"2006, 2014"
Nabil Fekir,France,1,2018,
Félix,Brazil,1,1970,
Lorenzo Fernández,Uruguay,1,1930,
Attilio Ferraris,Italy,1,1934,
Pietro Ferraris,Italy,1,1938,
Ubaldo Fillol,Argentina,1,1978,"1974, 1982"
Heinz Flohe,West Germany,1,1974,1978
Ron Flowers,England,1,1966,1962
Alfredo Foni,Italy,1,1938,
Fontana,Brazil,1,1970,
Américo Gallego,Argentina,1,1978,1982
Giovanni Galli,Italy,1,1982,1986
Luis Galván,Argentina,1,1978,1982
Rubén Galván,Argentina,1,1978,
Schubert Gambetta,Uruguay,1,1950,
Oscar Garré,Argentina,1,1986,
Gennaro Gattuso,Italy,1,2006,"2002, 2010"
Mario Genta,Italy,1,1938,
Claudio Gentile,Italy,1,1982,1978
Gérson,Brazil,1,1970,1966
Álvaro Gestido,Uruguay,1,1930,
Alcides Ghiggia,Uruguay,1,1950,
Alberto Gilardino,Italy,1,2006,2010
Gilberto Silva,Brazil,1,2002,"2006, 2010"
Gilmar Rinaldi,Brazil,1,1994,
Matthias Ginter,Germany,1,2014,2018
Olivier Giroud,France,1,2018,2014
Ricardo Giusti,Argentina,1,1986,1990
Juan Carlos González,Uruguay,1,1950,
Matías González,Uruguay,1,1950,
Mario Götze,Germany,1,2014,
Jürgen Grabowski,West Germany,1,1974,"1966, 1970"
Francesco Graziani,Italy,1,1982,1978
Jimmy Greaves,England,1,1966,1962
Antoine Griezmann,France,1,2018,2014
Kevin Großkreutz,Germany,1,2014,
Fabio Grosso,Italy,1,2006,
Enrique Guaita,Italy,1,1934,
Anfilogino Guarisi,Italy,1,1934,
Stéphane Guivarc'h,France,1,1998,
Thomas Häßler,West Germany,1,1990,"1994, 1998"
Thierry Henry,France,1,1998,"2002, 2006, 2010"
Günter Hermann,West Germany,1,1990,
Lucas Hernandez,France,1,2018,
Richard Herrmann,West Germany,1,1954,
Dieter Herzog,West Germany,1,1974,
Jupp Heynckes,West Germany,1,1974,
Uli Hoeneß,West Germany,1,1974,
Bernd Hölzenbein,West Germany,1,1974,1978
Horst-Dieter Höttges,West Germany,1,1974,"1966, 1970"
René Houseman,Argentina,1,1978,1974
Benedikt Höwedes,Germany,1,2014,
Mats Hummels,Germany,1,2014,2018
Roger Hunt,England,1,1966,1962
Norman Hunter,England,1,1966,1970
Geoff Hurst,England,1,1966,1970
Vincenzo Iaquinta,Italy,1,2006,2010
Bodo Illgner,West Germany,1,1990,1994
Andrés Iniesta,Spain,1,2010,"2006, 2014, 2018"
Filippo Inzaghi,Italy,1,2006,"1998, 2002"
Santos Iriarte,Uruguay,1,1930,
Luis Islas,Argentina,1,1986,1994
Jair,Brazil,1,1962,
Jair Marinho,Brazil,1,1962,
Jairzinho,Brazil,1,1970,"1966, 1974"
Joel,Brazil,1,1958,
Joel Camargo,Brazil,1,1970,
Jorginho,Brazil,1,1994,1990
Juninho Paulista,Brazil,1,2002,
Júnior,Brazil,1,2002,
Jurandir,Brazil,1,1962,
Kaká,Brazil,1,2002,"2006, 2010"
N'Golo Kanté,France,1,2018,
Jupp Kapellmann,West Germany,1,1974,
Christian Karembeu,France,1,1998,
Mario Kempes,Argentina,1,1978,"1974, 1982"
Sami Khedira,Germany,1,2014,"2010, 2018"
Daniel Killer,Argentina,1,1978,
Presnel Kimpembe,France,1,2018,
Kléberson,Brazil,1,2002,2010
Wolfgang Kleff,West Germany,1,1974,
Jürgen Klinsmann,West Germany,1,1990,"1994, 1998"
Bernhard Klodt,West Germany,1,1954,1958
Miroslav Klose,Germany,1,2014,"2002, 2006, 2010"
Jürgen Kohler,West Germany,1,1990,"1994, 1998"
Werner Kohlmeyer,West Germany,1,1954,
Andreas Köpke,West Germany,1,1990,"1994, 1998"
Christoph Kramer,Germany,1,2014,
Helmut Kremers,West Germany,1,1974,
Toni Kroos,Germany,1,2014,"2010, 2018"
Heinz Kubsch,West Germany,1,1954,
Heinz Kwiatkowski,West Germany,1,1954,1958
Ricardo La Volpe,Argentina,1,1978,
Fritz Laband,West Germany,1,1954,
Philipp Lahm,Germany,1,2014,"2006, 2010"
Bernard Lama,France,1,1998,
Omar Larrosa,Argentina,1,1978,
Leão,Brazil,1,1970,"1974, 1978, 1986"
Frank Leboeuf,France,1,1998,2002
Thomas Lemar,France,1,2018,
Leonardo,Brazil,1,1994,1998
Werner Liebrich,West Germany,1,1954,
Pierre Littbarski,West Germany,1,1990,"1982, 1986"
Bixente Lizarazu,France,1,1998,2002
Fernando Llorente,Spain,1,2010,
Hugo Lloris,France,1,2018,"2010, 2014"
Ugo Locatelli,Italy,1,1938,
Lúcio,Brazil,1,2002,"2006, 2010"
Luizão,Brazil,1,2002,
Leopoldo Luque,Argentina,1,1978,
Karl Mai,West Germany,1,1954,
Sepp Maier,West Germany,1,1974,"1966, 1970, 1978"
Steve Mandanda,France,1,2018,2010
Diego Maradona,Argentina,1,1986,"1982, 1990, 1994"
Carlos Marchena,Spain,1,2010,2006
Márcio Santos,Brazil,1,1994,
Marco Antônio,Brazil,1,1970,1974
Marcos,Brazil,1,2002,
Gianpiero Marini,Italy,1,1982,
Javi Martínez,Spain,1,2010,2014
William Martínez,Uruguay,1,1950,"1954, 1962"
Ernesto Mascheroni,Uruguay,1,1930,
Roque Máspoli,Uruguay,1,1950,1954
Daniele Massaro,Italy,1,1982,1994
Juan Mata,Spain,1,2010,2014
Marco Materazzi,Italy,1,2006,2002
Lothar Matthäus,West Germany,1,1990,"1982, 1986, 1994, 1998"
Blaise Matuidi,France,1,2018,2014
Mauro Silva,Brazil,1,1994,
Mazinho,Brazil,1,1994,1990
Kylian Mbappé,France,1,2018,
Paul Mebus,West Germany,1,1954,
Ángel Melogno,Uruguay,1,1930,
Benjamin Mendy,France,1,2018,
Mengálvio,Brazil,1,1962,
Per Mertesacker,Germany,1,2014,"2006, 2010"
Karl-Heinz Metzner,West Germany,1,1954,
Óscar Míguez,Uruguay,1,1950,1954
Frank Mill,West Germany,1,1990,
Moacir,Brazil,1,1958,
Andreas Möller,West Germany,1,1990,"1994, 1998"
Luis Monti,Italy,1,1934,1930 (for Argentina)
Bobby Moore,England,1,1966,"1962, 1970"
Rubén Morán,Uruguay,1,1950,
Max Morlock,West Germany,1,1954,
Müller,Brazil,1,1994,"1986, 1990"
Gerd Müller,West Germany,1,1974,1970
Thomas Müller,Germany,1,2014,"2010, 2018"
Shkodran Mustafi,Germany,1,2014,
José Nasazzi,Uruguay,1,1930,
Jesús Navas,Spain,1,2010,
Alessandro Nesta,Italy,1,2006,"1998, 2002"
Günter Netzer,West Germany,1,1974,
Manuel Neuer,Germany,1,2014,"2010, 2018"
Norbert Nigbur,West Germany,1,1974,
Steven Nzonzi,France,1,2018,
Massimo Oddo,Italy,1,2006,
Julio Olarticoechea,Argentina,1,1986,"1982, 1990"
Jorge Olguín,Argentina,1,1978,1982
Aldo Olivieri,Italy,1,1938,
